SPP,NAME,A-LEFT,A-RIGHT,A-NA,A-PROP,LI-A,B-LEFT,B-RIGHT,B-NA,B-PROP,LI-B,TOT-LEFT,TOT-RIGHT,TOT-NA,TOT-PROP,AVG-PROP,LI-TOT
P.lat,Beijing,172,109,15,0.612099644,-22.41992883,147,149,0,0.496621622,0.675675676,319,258,15,0.552859619,0.554360633,-10.57192374
P.lat,Camila,129,151,16,0.460714286,7.857142857,136,158,2,0.462585034,7.482993197,265,309,18,0.461672474,0.46164966,7.665505226
P.lat,Jessica,171,123,2,0.581632653,-16.32653061,104,182,10,0.363636364,27.27272727,275,305,12,0.474137931,0.472634508,5.172413793
P.lat,London,157,128,11,0.550877193,-10.1754386,119,167,10,0.416083916,16.78321678,276,295,21,0.483362522,0.483480555,3.327495622
P.lat,Melissa,127,164,5,0.436426117,12.71477663,157,129,10,0.548951049,-9.79020979,284,293,15,0.49220104,0.492688583,1.559792028
P.lat,Paris,130,153,13,0.459363958,8.127208481,150,143,3,0.511945392,-2.389078498,280,296,16,0.486111111,0.485654675,2.777777778
P.lat,Penny,116,170,10,0.405594406,18.88111888,145,146,5,0.498281787,0.343642612,261,316,15,0.452339688,0.451938096,9.532062392
P.lat,Rachel,155,120,21,0.563636364,-12.72727273,156,129,11,0.547368421,-9.473684211,311,249,32,0.555357143,0.555502392,-11.07142857
P.lat,Rebecca,128,160,8,0.444444444,11.11111111,133,150,13,0.469964664,6.007067138,261,310,21,0.45709282,0.457204554,8.581436077
P.lat,Riley,182,108,6,0.627586207,-25.51724138,171,118,7,0.591695502,-18.33910035,353,226,13,0.609671848,0.609640854,-21.9343696
P.lat,Sophia,130,135,31,0.490566038,1.886792453,134,153,9,0.466898955,6.620209059,264,288,40,0.47826087,0.478732496,4.347826087
P.lat,Stella,134,155,7,0.46366782,7.266435986,152,127,17,0.544802867,-8.960573477,286,282,24,0.503521127,0.504235344,-0.704225352
P.lat,Zoey,150,112,34,0.572519084,-14.50381679,148,143,5,0.508591065,-1.718213058,298,255,39,0.538878843,0.540555075,-7.775768535
P.lat,Cypress,121,174,1,0.410169492,17.96610169,130,148,18,0.467625899,6.474820144,251,322,19,0.438045375,0.438897695,12.39092496
P.lat,Evangeline,141,114,41,0.552941176,-10.58823529,151,101,44,0.599206349,-19.84126984,292,215,85,0.575936884,0.576073763,-15.18737673
P.lat,Rumi,138,103,55,0.572614108,-14.52282158,236,53,7,0.816608997,-63.32179931,374,156,62,0.705660377,0.694611552,-41.13207547
P.lat,Willow,113,181,2,0.384353741,23.1292517,180,107,9,0.6271777,-25.43554007,293,288,11,0.504302926,0.505765721,-0.860585198
P.lat,Elena,125,153,18,0.449640288,10.07194245,149,136,11,0.522807018,-4.561403509,274,289,29,0.486678508,0.486223653,2.664298401
P.lat,Brielle,152,138,6,0.524137931,-4.827586207,164,121,11,0.575438596,-15.0877193,316,259,17,0.549565217,0.549788264,-9.913043478
P.lat,Amara,115,134,47,0.46184739,7.630522088,107,150,39,0.416342412,16.73151751,222,284,86,0.438735178,0.439094901,12.25296443
P.lat,Harvy,171,96,29,0.640449438,-28.08988764,121,129,46,0.484,3.2,292,225,75,0.564796905,0.562224719,-12.95938104
P.lat,Ursula,140,130,25,0.518518519,-3.703703704,112,119,65,0.484848485,3.03030303,252,249,90,0.502994012,0.501683502,-0.598802395
P.lat,Nessie,129,145,22,0.47080292,5.839416058,159,103,34,0.606870229,-21.3740458,288,248,56,0.537313433,0.538836574,-7.462686567
P.lat,Willa,116,148,32,0.439393939,12.12121212,124,136,36,0.476923077,4.615384615,240,284,68,0.458015267,0.458158508,8.396946565
P.lat,Millie,155,125,16,0.553571429,-10.71428571,125,163,8,0.434027778,13.19444444,280,288,24,0.492957746,0.493799603,1.408450704
P.form,Kai,135,122,39,0.525291829,-5.058365759,126,133,37,0.486486486,2.702702703,261,255,76,0.505813953,0.505889158,-1.162790698
P.form,Maeve,129,153,14,0.457446809,8.510638298,108,140,48,0.435483871,12.90322581,237,293,62,0.447169811,0.44646534,10.56603774
P.form,Cayenne,132,153,11,0.463157895,7.368421053,95,191,10,0.332167832,33.56643357,227,344,21,0.397548161,0.397662863,20.49036778
P.form,Freya,157,124,15,0.558718861,-11.74377224,131,158,7,0.453287197,9.342560554,288,282,22,0.505263158,0.506003029,-1.052631579
P.form,Ana,132,150,14,0.468085106,6.382978723,150,137,9,0.522648084,-4.529616725,282,287,23,0.495606327,0.495366595,0.878734622
P.form,Ashley,172,112,12,0.605633803,-21.12676056,147,128,21,0.534545455,-6.909090909,319,240,33,0.570661896,0.570089629,-14.13237925
P.form,Ava,144,133,19,0.519855596,-3.971119134,160,119,17,0.573476703,-14.6953405,304,252,36,0.54676259,0.546666149,-9.352517986
P.form,Chloe,152,139,5,0.52233677,-4.467353952,138,154,4,0.47260274,5.479452055,290,293,9,0.497427101,0.497469755,0.51457976
P.form,Dory,142,139,15,0.505338078,-1.067615658,144,137,15,0.512455516,-2.491103203,286,276,30,0.508896797,0.508896797,-1.779359431
P.form,Emmy,140,141,15,0.498220641,0.355871886,148,131,17,0.53046595,-6.093189964,288,272,32,0.514285714,0.514343295,-2.857142857
P.form,Gretchen,5,291,0,0.016891892,96.62162162,145,144,7,0.501730104,-0.346020761,150,435,7,0.256410256,0.259310998,48.71794872
P.form,Layla,134,151,11,0.470175439,5.964912281,143,146,7,0.494809689,1.038062284,277,297,18,0.482578397,0.482492564,3.484320557
P.form,Lily,142,148,6,0.489655172,2.068965517,144,147,5,0.494845361,1.030927835,286,295,11,0.492254733,0.492250267,1.549053356
P.form,Makayla,147,146,3,0.501706485,-0.341296928,177,113,6,0.610344828,-22.06896552,324,259,9,0.555746141,0.556025656,-11.14922813
P.form,Megan,128,162,6,0.44137931,11.72413793,163,126,7,0.564013841,-12.80276817,291,288,13,0.502590674,0.502696576,-0.518134715
P.form,Olivia,135,151,10,0.472027972,5.594405594,153,126,17,0.548387097,-9.677419355,288,277,27,0.509734513,0.510207534,-1.946902655
P.form,Rosy,183,100,13,0.64664311,-29.32862191,138,133,25,0.509225092,-1.84501845,321,233,38,0.579422383,0.577934101,-15.88447653
P.form,Skylar,142,143,11,0.498245614,0.350877193,139,128,29,0.520599251,-4.119850187,281,271,40,0.509057971,0.509422432,-1.811594203
P.form,Sofia,109,182,5,0.374570447,25.08591065,139,151,6,0.479310345,4.137931034,248,333,11,0.426850258,0.426940396,14.62994836
P.form,Kona,142,126,28,0.529850746,-5.970149254,139,132,25,0.512915129,-2.58302583,281,258,53,0.521335807,0.521382938,-4.26716141
P.form,Luna,126,157,13,0.445229682,10.9540636,124,154,18,0.446043165,10.79136691,250,311,31,0.445632799,0.445636424,10.87344029
P.form,Muses,171,117,8,0.59375,-18.75,114,171,10,0.4,20,285,288,18,0.497382199,0.496875,0.523560209
P.form,Nyx,108,175,13,0.381625442,23.67491166,132,147,17,0.47311828,5.376344086,240,322,30,0.427046263,0.427371861,14.59074733
P.form,Azami,120,170,6,0.413793103,17.24137931,183,100,13,0.64664311,-29.32862191,303,270,19,0.528795812,0.530218106,-5.759162304
P.form,Asha,148,134,14,0.524822695,-4.964539007,158,131,7,0.546712803,-9.342560554,306,265,21,0.535901926,0.535767749,-7.180385289
P.form,Kendra,142,142,12,0.5,0,176,107,13,0.621908127,-24.38162544,318,249,25,0.560846561,0.560954064,-12.16931217
P.form,Tory,150,144,2,0.510204082,-2.040816327,148,136,12,0.521126761,-4.225352113,298,280,14,0.515570934,0.515665421,-3.114186851
