SPP,NAME,A-PROP,B-PROP,TOT-PROP,AVG-PROP
P.lat,Beijing,0.599190283,0.493273543,0.54893617,0.546231913
P.lat,Camila,0.473958333,0.490825688,0.482926829,0.482392011
P.lat,Jessica,0.583815029,0.378787879,0.474393531,0.481301454
P.lat,London,0.54185022,0.40201005,0.476525822,0.471930135
P.lat,Melissa,0.5,0.552123552,0.531034483,0.526061776
P.lat,Paris,0.52688172,0.515957447,0.521390374,0.521419584
P.lat,Penny,0.398523985,0.486486486,0.441509434,0.442505236
P.lat,Rachel,0.570175439,0.570866142,0.570539419,0.57052079
P.lat,Rebecca,0.426666667,0.479820628,0.453125,0.453243647
P.lat,Riley,0.638888889,0.610486891,0.624277457,0.62468789
P.lat,Sophia,0.520408163,0.473451327,0.495260664,0.496929745
P.lat,Stella,0.463636364,0.551219512,0.505882353,0.507427938
P.lat,Zoey,0.589371981,0.5125,0.555858311,0.55093599
P.form,Ana,0.492307692,0.477272727,0.485175202,0.48479021
P.form,Ashley,0.577380952,0.438271605,0.509090909,0.507826279
P.form,Ava,0.538071066,0.543568465,0.54109589,0.540819765
P.form,Chloe,0.45508982,0.464912281,0.460759494,0.460001051
P.form,Dory,0.522167488,0.510729614,0.516055046,0.516448551
P.form,Emmy,0.43718593,0.535433071,0.492273731,0.4863095
P.form,Gretchen,0,0.463917526,0.251396648,0.231958763
P.form,Layla,0.449494949,0.358108108,0.410404624,0.403801529
P.form,Lily,0.535545024,0.472727273,0.503480278,0.504136148
P.form,Makayla,0.438423645,0.678321678,0.537572254,0.558372662
P.form,Megan,0.529069767,0.546218487,0.53902439,0.537644127
P.form,Olivia,0.529069767,0.566037736,0.549479167,0.547553752
P.form,Rosy,0.686486486,0.510204082,0.586046512,0.598345284
P.form,Skylar,0.489583333,0.545945946,0.517241379,0.51776464
P.form,Sofia,0.388646288,0.478672986,0.431818182,0.433659637
P.form,Tory,0.50862069,0.54491018,0.523809524,0.526765435
