SPP,NAME,A-LEFT,A-RIGHT,A-NA,A-PROP,B-LEFT,B-RIGHT,B-NA,B-PROP,TOT-LEFT,TOT-RIGHT,TOT-NA,TOT-PROP,AVG-PROP
P.lat,Beijing,148,99,49,0.599190283,110,113,73,0.493273543,258,212,122,0.54893617,0.546231913
P.lat,Camila,91,101,104,0.473958333,107,111,78,0.490825688,198,212,182,0.482926829,0.482392011
P.lat,Jessica,101,72,123,0.583815029,75,123,98,0.378787879,176,195,221,0.474393531,0.481301454
P.lat,London,123,104,69,0.54185022,80,119,97,0.40201005,203,223,166,0.476525822,0.471930135
P.lat,Melissa,88,88,120,0.5,143,116,37,0.552123552,231,204,157,0.531034483,0.526061776
P.lat,Paris,98,88,110,0.52688172,97,91,108,0.515957447,195,179,218,0.521390374,0.521419584
P.lat,Penny,108,163,25,0.398523985,126,133,37,0.486486486,234,296,62,0.441509434,0.442505236
P.lat,Rachel,130,98,68,0.570175439,145,109,42,0.570866142,275,207,110,0.570539419,0.57052079
P.lat,Rebecca,96,129,71,0.426666667,107,116,73,0.479820628,203,245,144,0.453125,0.453243647
P.lat,Riley,161,91,44,0.638888889,163,104,29,0.610486891,324,195,73,0.624277457,0.62468789
P.lat,Sophia,102,94,100,0.520408163,107,119,70,0.473451327,209,213,170,0.495260664,0.496929745
P.lat,Stella,102,118,76,0.463636364,113,92,91,0.551219512,215,210,167,0.505882353,0.507427938
P.lat,Zoey,122,85,89,0.589371981,82,78,136,0.5125,204,163,225,0.555858311,0.55093599
P.form,Ana,96,99,101,0.492307692,84,92,120,0.477272727,180,191,221,0.485175202,0.48479021
P.form,Ashley,97,71,128,0.577380952,71,91,134,0.438271605,168,162,262,0.509090909,0.507826279
P.form,Ava,106,91,99,0.538071066,131,110,55,0.543568465,237,201,154,0.54109589,0.540819765
P.form,Chloe,76,91,129,0.45508982,106,122,68,0.464912281,182,213,197,0.460759494,0.460001051
P.form,Dory,106,97,93,0.522167488,119,114,63,0.510729614,225,211,156,0.516055046,0.516448551
P.form,Emmy,87,112,97,0.43718593,136,118,42,0.535433071,223,230,139,0.492273731,0.4863095
P.form,Gretchen,0,164,132,0,90,104,102,0.463917526,90,268,234,0.251396648,0.231958763
P.form,Layla,89,109,98,0.449494949,53,95,148,0.358108108,142,204,246,0.410404624,0.403801529
P.form,Lily,113,98,85,0.535545024,104,116,76,0.472727273,217,214,161,0.503480278,0.504136148
P.form,Makayla,89,114,93,0.438423645,97,46,153,0.678321678,186,160,246,0.537572254,0.558372662
P.form,Megan,91,81,124,0.529069767,130,108,58,0.546218487,221,189,182,0.53902439,0.537644127
P.form,Olivia,91,81,124,0.529069767,120,92,84,0.566037736,211,173,208,0.549479167,0.547553752
P.form,Rosy,127,58,111,0.686486486,125,120,51,0.510204082,252,178,162,0.586046512,0.598345284
P.form,Skylar,94,98,104,0.489583333,101,84,111,0.545945946,195,182,215,0.517241379,0.51776464
P.form,Sofia,89,140,67,0.388646288,101,110,85,0.478672986,190,250,152,0.431818182,0.433659637
P.form,Tory,118,114,64,0.50862069,91,76,129,0.54491018,209,190,193,0.523809524,0.526765435
