SPP,NAME,A-PROP,B-PROP,TOT-PROP,AVG-PROP
Sailfin,Beijing,0.612099644,0.496621622,0.552859619,0.554360633
Sailfin,Camila,0.460714286,0.462585034,0.461672474,0.46164966
Sailfin,Jessica,0.581632653,0.363636364,0.474137931,0.472634508
Sailfin,London,0.550877193,0.416083916,0.483362522,0.483480555
Sailfin,Melissa,0.436426117,0.548951049,0.49220104,0.492688583
Sailfin,Paris,0.459363958,0.511945392,0.486111111,0.485654675
Sailfin,Penny,0.405594406,0.498281787,0.452339688,0.451938096
Sailfin,Rachel,0.563636364,0.547368421,0.555357143,0.555502392
Sailfin,Rebecca,0.444444444,0.469964664,0.45709282,0.457204554
Sailfin,Riley,0.627586207,0.591695502,0.609671848,0.609640854
Sailfin,Sophia,0.490566038,0.466898955,0.47826087,0.478732496
Sailfin,Stella,0.46366782,0.544802867,0.503521127,0.504235344
Sailfin,Zoey,0.572519084,0.508591065,0.538878843,0.540555075
Sailfin,Cypress,0.410169492,0.467625899,0.438045375,0.438897695
Sailfin,Evangeline,0.552941176,0.599206349,0.575936884,0.576073763
Sailfin,Rumi,0.572614108,0.816608997,0.705660377,0.694611552
Sailfin,Willow,0.384353741,0.6271777,0.504302926,0.505765721
Sailfin,Elena,0.449640288,0.522807018,0.486678508,0.486223653
Sailfin,Brielle,0.524137931,0.575438596,0.549565217,0.549788264
Sailfin,Amara,0.46184739,0.416342412,0.438735178,0.439094901
Amazon,Kai,0.525291829,0.486486486,0.505813953,0.505889158
Amazon,Maeve,0.457446809,0.435483871,0.447169811,0.44646534
Amazon,Cayenne,0.463157895,0.332167832,0.397548161,0.397662863
Amazon,Freya,0.558718861,0.453287197,0.505263158,0.506003029
Amazon,Ana,0.468085106,0.522648084,0.495606327,0.495366595
Amazon,Ashley,0.605633803,0.534545455,0.570661896,0.570089629
Amazon,Ava,0.519855596,0.573476703,0.54676259,0.546666149
Amazon,Chloe,0.52233677,0.47260274,0.497427101,0.497469755
Amazon,Dory,0.505338078,0.512455516,0.508896797,0.508896797
Amazon,Emmy,0.498220641,0.53046595,0.514285714,0.514343295
Amazon,Gretchen,0.016891892,0.501730104,0.256410256,0.259310998
Amazon,Layla,0.470175439,0.494809689,0.482578397,0.482492564
Amazon,Lily,0.489655172,0.494845361,0.492254733,0.492250267
Amazon,Makayla,0.501706485,0.610344828,0.555746141,0.556025656
Amazon,Megan,0.44137931,0.564013841,0.502590674,0.502696576
Amazon,Olivia,0.472027972,0.548387097,0.509734513,0.510207534
Amazon,Rosy,0.64664311,0.509225092,0.579422383,0.577934101
Amazon,Skylar,0.498245614,0.520599251,0.509057971,0.509422432
Amazon,Sofia,0.374570447,0.479310345,0.426850258,0.426940396
Amazon,Tory,0.510204082,0.521126761,0.515570934,0.515665421
